question_id,language,pair_id,source_text,target_text,source_lang,target_lang,question,expected_answer,citation_text,cite_from,difficulty,question_type,register,model,batch_id,generated_date,has_context
es_batch_chatgpt_02_010,es,es_005,"No me vengas con cuentos, ya sé que llegaste tarde porque te quedaste dormido otra vez, siempre es la misma historia.","Don't give me stories, I already know you arrived late because you overslept again, it's always the same thing.",es,en,"How should the expression 'Don't give me stories' be interpreted in context, considering cultural and idiomatic nuance?","It functions as an idiomatic reprimand meaning that the speaker rejects fabricated excuses, reflecting a cultural tendency to equate 'stories' with untrustworthy explanations.",Don't give me stories,target,hard,ambiguous,formal,chatgpt,es_batch_chatgpt_02,2025-11-21,yes
es_batch_chatgpt_02_011,es,es_006,La empresa reportó pérdidas significativas durante el segundo trimestre debido a la interrupción de la cadena de suministro global.,The company reported significant losses during the second quarter due to the disruption of the global supply chain.,es,en,"Do you think the losses mentioned were caused only by external factors, or could the timing and internal management also be playing a role?","Although the text attributes the losses to a global supply chain disruption, the phrasing leaves room for interpretation about whether internal decisions during that specific quarter might have intensified the impact.",pérdidas significativas durante el segundo trimestre,source,hard,ambiguous,informal,chatgpt,es_batch_chatgpt_02,2025-11-21,yes
es_batch_chatgpt_03_012,es,es_007,"Mi abuela siempre decía que a quien madruga Dios le ayuda, pero yo prefiero dormir hasta tarde los fines de semana.","My grandmother always said the early bird catches the worm, but I prefer to sleep in late on weekends.",es,en,"According to the translated text, what proverb does the grandmother express about getting up early?","She uses the proverb that getting up early brings advantages, reflected in the translation that describes how the early bird gains an opportunity others miss.",the early bird catches the worm,target,easy,factual,formal,chatgpt,es_batch_chatgpt_03,2025-11-21,yes
es_batch_chatgpt_03_013,es,es_009,"¿Me pasas la sal, por favor? Y si no es mucha molestia, también el pan que está allá en la mesa.","Can you pass me the salt, please? And if it's not too much trouble, also the bread that's over there on the table.",es,en,What item is the speaker politely asking someone to pass?,"The speaker is asking for the salt, making a courteous request before asking for anything else.","¿Me pasas la sal, por favor?",source,easy,factual,informal,chatgpt,es_batch_chatgpt_03,2025-11-21,yes
es_batch_chatgpt_03_014,es,es_007,"Mi abuela siempre decía que a quien madruga Dios le ayuda, pero yo prefiero dormir hasta tarde los fines de semana.","My grandmother always said the early bird catches the worm, but I prefer to sleep in late on weekends.",es,en,What can you infer about the speaker's attitude toward weekend mornings based on the translated passage?,The speaker values rest and chooses to sleep late rather than adopt the disciplined routine encouraged by the proverb mentioned earlier.,I prefer to sleep in late on weekends,target,medium,reasoning,formal,chatgpt,es_batch_chatgpt_03,2025-11-21,yes
es_batch_chatgpt_03_015,es,es_008,Los investigadores descubrieron que la exposición prolongada a pantallas antes de dormir puede alterar significativamente los patrones de sueño.,Researchers discovered that prolonged exposure to screens before sleeping can significantly alter sleep patterns.,es,en,Why do you think the researchers were concerned about screen use before bedtime?,"Because the passage implies that using screens late at night disrupts natural sleep patterns, suggesting the researchers saw it as potentially harmful.",prolonged exposure to screens before sleeping,target,medium,reasoning,informal,chatgpt,es_batch_chatgpt_03,2025-11-21,yes
es_batch_chatgpt_03_016,es,es_007,"Mi abuela siempre decía que a quien madruga Dios le ayuda, pero yo prefiero dormir hasta tarde los fines de semana.","My grandmother always said the early bird catches the worm, but I prefer to sleep in late on weekends.",es,en,"How should the idiomatic expression in the original text be understood when interpreting the translation: does it emphasize divine help, personal discipline, or something else?","Although the source emphasizes divine favor through an idiom about rising early, the translation renders it with an English proverb that stresses discipline and initiative, shifting the nuance from spiritual help to practical advantage.",a quien madruga Dios le ayuda,source,hard,ambiguous,formal,chatgpt,es_batch_chatgpt_03,2025-11-21,yes
es_batch_chatgpt_03_017,es,es_009,"¿Me pasas la sal, por favor? Y si no es mucha molestia, también el pan que está allá en la mesa.","Can you pass me the salt, please? And if it's not too much trouble, also the bread that's over there on the table.",es,en,"The speaker asks for bread only if it is not 'too much trouble'. Do you think this softening phrase signals politeness, hesitation, or something else in the translation?","It signals polite hesitation, as the added qualifier shows the speaker trying not to impose while still making a request, a nuance conveyed by the translated phrasing.",if it's not too much trouble,target,hard,ambiguous,informal,chatgpt,es_batch_chatgpt_03,2025-11-21,yes
es_batch_chatgpt_04_018,es,es_010,"La novela explora temas profundos como la soledad, la identidad y la búsqueda del significado en una sociedad cada vez más fragmentada.","The novel explores profound themes such as loneliness, identity, and the search for meaning in an increasingly fragmented society.",es,en,"According to the translation, what central subjects does the novel examine?","It examines deep human concerns, including loneliness and identity, as part of its thematic focus.",profound themes such as loneliness,target,easy,factual,formal,chatgpt,es_batch_chatgpt_04,2025-11-21,yes
es_batch_chatgpt_04_019,es,es_011,El protocolo de seguridad requiere autenticación de dos factores y encriptación de extremo a extremo para todas las comunicaciones sensibles.,The security protocol requires two-factor authentication and end-to-end encryption for all sensitive communications.,es,en,So what specific security stuff does the protocol ask for?,It calls for two-factor authentication along with strong encryption to keep sensitive communications protected.,autenticación de dos factores y encriptación,source,easy,factual,informal,chatgpt,es_batch_chatgpt_04,2025-11-21,yes
es_batch_chatgpt_04_020,es,es_012,"Estoy hasta el cuello de trabajo esta semana, pero prometo que nos vemos el sábado para ponernos al día.","I'm up to my neck in work this week, but I promise we'll meet on Saturday to catch up.",es,en,"In the context of the passage, what does the expression about being overworked imply about the speaker's availability?",It indicates that the speaker is extremely busy at the moment yet still intends to make time for a meeting.,up to my neck in work this week,target,medium,reasoning,formal,chatgpt,es_batch_chatgpt_04,2025-11-21,yes
es_batch_chatgpt_04_021,es,es_012,"Estoy hasta el cuello de trabajo esta semana, pero prometo que nos vemos el sábado para ponernos al día.","I'm up to my neck in work this week, but I promise we'll meet on Saturday to catch up.",es,en,"If they're saying they'll see each other on Saturday, what does that hint about their plans for the rest of the week?",It suggests that meeting earlier is unlikely and that Saturday is the first realistic chance to reconnect.,nos vemos el sábado para ponernos al día,source,medium,reasoning,informal,chatgpt,es_batch_chatgpt_04,2025-11-21,yes
es_batch_chatgpt_04_022,es,es_010,"La novela explora temas profundos como la soledad, la identidad y la búsqueda del significado en una sociedad cada vez más fragmentada.","The novel explores profound themes such as loneliness, identity, and the search for meaning in an increasingly fragmented society.",es,en,How might the novel's depiction of a fragmented society be interpreted beyond its literal meaning?,"It could point to social, psychological, or cultural disconnection rather than solely describing a structurally divided community.",in an increasingly fragmented society,target,hard,ambiguous,formal,chatgpt,es_batch_chatgpt_04,2025-11-21,yes
es_batch_chatgpt_04_023,es,es_012,"Estoy hasta el cuello de trabajo esta semana, pero prometo que nos vemos el sábado para ponernos al día.","I'm up to my neck in work this week, but I promise we'll meet on Saturday to catch up.",es,en,"When the speaker says they're 'hasta el cuello de trabajo', how could that be understood in different cultural or personal ways?","Depending on context, it might signal genuine overload, a casual exaggeration, or even a polite excuse to delay commitments.",hasta el cuello de trabajo esta semana,source,hard,ambiguous,informal,chatgpt,es_batch_chatgpt_04,2025-11-21,yes
es_batch_chatgpt_05_024,es,es_013,"La celebración del Día de los Muertos incluye altares decorados con flores de cempasúchil, fotografías y las comidas favoritas de los difuntos.","The Day of the Dead celebration includes altars decorated with marigold flowers, photographs, and the favorite foods of the deceased.",es,en,What elements are explicitly mentioned as part of the Day of the Dead celebration?,"The translation states that the celebration includes decorated altars, photographs, and specific foods chosen to honor the deceased.",altars decorated with marigold flowers,target,easy,factual,formal,chatgpt,es_batch_chatgpt_05,2025-11-21,yes
es_batch_chatgpt_05_025,es,es_014,Las negociaciones entre ambos países se encuentran en un punto muerto debido a desacuerdos fundamentales sobre cuestiones territoriales.,Negotiations between both countries are at a standstill due to fundamental disagreements over territorial issues.,es,en,So what's basically keeping those countries from moving forward in their talks?,The talks are stuck because the countries disagree on crucial territorial questions.,un punto muerto debido a desacuerdos fundamentales,source,easy,factual,informal,chatgpt,es_batch_chatgpt_05,2025-11-21,yes
es_batch_chatgpt_05_026,es,es_015,"Ella caminaba por las calles empedradas del pueblo, recordando los días de su infancia cuando todo parecía más simple y mágico.","She walked through the cobblestone streets of the town, remembering the days of her childhood when everything seemed simpler and more magical.",es,en,How does the translation convey the temporal relationship between the woman's present walk and her recollection of earlier years?,"It shows that her current walk triggers an ongoing mental return to earlier life experiences, indicating a reflective and continuous memory process rather than a single past event.",remembering the days of her childhood,target,medium,reasoning,formal,chatgpt,es_batch_chatgpt_05,2025-11-21,yes
es_batch_chatgpt_05_027,es,es_014,Las negociaciones entre ambos países se encuentran en un punto muerto debido a desacuerdos fundamentales sobre cuestiones territoriales.,Negotiations between both countries are at a standstill due to fundamental disagreements over territorial issues.,es,en,"If you had to describe the vibe difference between the Spanish sentence and its English version, how would you put it?","The Spanish phrasing feels a bit more formal and weighty, while the English keeps the seriousness but sounds slightly more direct in tone.",Las negociaciones entre ambos países,source,medium,reasoning,informal,chatgpt,es_batch_chatgpt_05,2025-11-21,yes
es_batch_chatgpt_05_028,es,es_015,"Ella caminaba por las calles empedradas del pueblo, recordando los días de su infancia cuando todo parecía más simple y mágico.","She walked through the cobblestone streets of the town, remembering the days of her childhood when everything seemed simpler and more magical.",es,en,"In interpreting the narrator's outlook, what possible meanings could be drawn from the depiction of childhood as 'more simple and magical'?","It may suggest nostalgia, idealization of the past, or a contrast with a present that feels more complicated, but the text leaves open whether this is an emotional truth or a selective memory.",cuando todo parecía más simple y mágico,source,hard,ambiguous,formal,chatgpt,es_batch_chatgpt_05,2025-11-21,yes
es_batch_chatgpt_05_029,es,es_013,"La celebración del Día de los Muertos incluye altares decorados con flores de cempasúchil, fotografías y las comidas favoritas de los difuntos.","The Day of the Dead celebration includes altars decorated with marigold flowers, photographs, and the favorite foods of the deceased.",es,en,"When the text mentions traditional altars for the Day of the Dead, what kinds of cultural meanings might folks read into that?","People might view the altars as a sign of honoring ancestors, a blend of indigenous and modern rituals, or just a symbolic gesture of remembrance, but the translation does not pin down a single interpretation.",The Day of the Dead celebration,target,hard,ambiguous,informal,chatgpt,es_batch_chatgpt_05,2025-11-21,yes
es_batch_chatgpt_06_030,es,es_016,El sistema operativo incluye nuevas funcionalidades de inteligencia artificial para optimizar el rendimiento y la gestión de recursos del dispositivo.,The operating system includes new artificial intelligence features to optimize device performance and resource management.,es,en,What components does the text explicitly state are enhanced in the operating system?,"It states that the system enhances both performance and resource management, indicating two primary areas of improvement.",performance and resource management,target,easy,factual,formal,chatgpt,es_batch_chatgpt_06,2025-11-21,yes
es_batch_chatgpt_06_031,es,es_018,¿Quedamos para tomar algo después del trabajo? Necesito desconectar un rato y contarte lo que me pasó esta semana.,Should we meet up for drinks after work? I need to disconnect for a while and tell you what happened to me this week.,es,en,"Hey, what exactly is the person asking to do after work?","They want to meet up for drinks after work, as the text directly proposes a casual get-together.",meet up for drinks after work,target,easy,factual,informal,chatgpt,es_batch_chatgpt_06,2025-11-21,yes
es_batch_chatgpt_06_032,es,es_018,¿Quedamos para tomar algo después del trabajo? Necesito desconectar un rato y contarte lo que me pasó esta semana.,Should we meet up for drinks after work? I need to disconnect for a while and tell you what happened to me this week.,es,en,What can be inferred about the speaker's emotional state from their desire to 'disconnect for a while'?,It suggests that the speaker is feeling mentally tired or stressed and seeks a break to recover.,disconnect for a while,target,medium,reasoning,formal,chatgpt,es_batch_chatgpt_06,2025-11-21,yes
es_batch_chatgpt_06_033,es,es_017,"No hay mal que por bien no venga, aunque perdí ese trabajo, encontré uno mucho mejor el mes siguiente.","Every cloud has a silver lining, although I lost that job, I found a much better one the following month.",es,en,So why do you think finding a better job the next month changes how the saying hits?,Because discovering a better job soon after makes the idiom feel true in practice—the misfortune turns into something beneficial.,No hay mal que por bien no venga,source,medium,reasoning,informal,chatgpt,es_batch_chatgpt_06,2025-11-21,yes
es_batch_chatgpt_06_034,es,es_017,"No hay mal que por bien no venga, aunque perdí ese trabajo, encontré uno mucho mejor el mes siguiente.","Every cloud has a silver lining, although I lost that job, I found a much better one the following month.",es,en,How might different readers interpret the temporal nuance of the phrase indicating that the speaker found a better job 'the following month'?,"Some may view it as suggesting a quick recovery from misfortune, while others might interpret the interval as emotionally significant despite being brief.",the following month,target,hard,ambiguous,formal,chatgpt,es_batch_chatgpt_06,2025-11-21,yes
es_batch_chatgpt_06_035,es,es_018,¿Quedamos para tomar algo después del trabajo? Necesito desconectar un rato y contarte lo que me pasó esta semana.,Should we meet up for drinks after work? I need to disconnect for a while and tell you what happened to me this week.,es,en,"Do you think 'necesito desconectar un rato' sounds equally informal in both languages, or could someone read it as more serious depending on context?","Its informality is clear in Spanish, but an English reader might interpret it as either casual or a sign of deeper stress, making the register ambiguous across languages.",Necesito desconectar un rato,source,hard,ambiguous,informal,chatgpt,es_batch_chatgpt_06,2025-11-21,yes
es_batch_claude_01_036,es,es_019,"El cambio climático representa uno de los desafíos más urgentes que enfrenta la humanidad en el siglo XXI, requiriendo acción inmediata.","Climate change represents one of the most urgent challenges facing humanity in the 21st century, requiring immediate action.",es,en,What does the Spanish text identify as one of humanity's most urgent challenges?,Climate change is identified as one of the most urgent challenges facing humanity in the 21st century.,uno de los desafíos más urgentes que enfrenta la humanidad en el siglo XXI,source,easy,factual,formal,claude,es_batch_claude_01,2025-11-21,yes
es_batch_claude_01_037,es,es_020,"La paella valenciana tradicional se prepara con arroz, azafrán, judías verdes, garrofón y pollo o conejo, cocinada a fuego lento.","Traditional Valencian paella is prepared with rice, saffron, green beans, lima beans, and chicken or rabbit, cooked over low heat.",es,en,What kinda beans go into a real Valencian paella?,You need green beans and lima beans (garrofón in Spanish) for authentic Valencian paella.,"green beans, lima beans",target,easy,factual,informal,claude,es_batch_claude_01,2025-11-21,yes
es_batch_claude_01_038,es,es_019,"El cambio climático representa uno de los desafíos más urgentes que enfrenta la humanidad en el siglo XXI, requiriendo acción inmediata.","Climate change represents one of the most urgent challenges facing humanity in the 21st century, requiring immediate action.",es,en,How does the translation convey the urgency and temporal scope of the climate issue?,"The translation preserves urgency through 'most urgent challenges' and 'requiring immediate action', while anchoring it temporally to the 21st century, emphasizing both present crisis and contemporary relevance.","most urgent challenges facing humanity in the 21st century, requiring immediate action",target,medium,reasoning,formal,claude,es_batch_claude_01,2025-11-21,yes
es_batch_claude_01_039,es,es_021,Los resultados del estudio sugieren una correlación significativa entre el consumo de vegetales y la reducción del riesgo cardiovascular.,The study results suggest a significant correlation between vegetable consumption and reduced cardiovascular risk.,es,en,Does the study say eating veggies definitely prevents heart problems?,"No, it suggests a correlation between vegetable consumption and reduced risk, not causation or prevention. The careful phrasing 'sugieren una correlación' avoids claiming definitive causality.",sugieren una correlación significativa entre el consumo de vegetales y la reducción del riesgo cardiovascular,source,medium,reasoning,informal,claude,es_batch_claude_01,2025-11-21,yes
es_batch_claude_01_040,es,es_020,"La paella valenciana tradicional se prepara con arroz, azafrán, judías verdes, garrofón y pollo o conejo, cocinada a fuego lento.","Traditional Valencian paella is prepared with rice, saffron, green beans, lima beans, and chicken or rabbit, cooked over low heat.",es,en,What cultural-culinary nuance might be lost when 'garrofón' is translated as 'lima beans'?,"The term 'garrofón' refers specifically to a large white butter bean variety traditional to Valencia, distinct from common lima beans. This translation prioritizes accessibility over regional specificity, potentially obscuring the dish's authentic local character.","judías verdes, garrofón y pollo o conejo, cocinada a fuego lento",source,hard,ambiguous,formal,claude,es_batch_claude_01,2025-11-21,yes
es_batch_claude_01_041,es,es_020,"La paella valenciana tradicional se prepara con arroz, azafrán, judías verdes, garrofón y pollo o conejo, cocinada a fuego lento.","Traditional Valencian paella is prepared with rice, saffron, green beans, lima beans, and chicken or rabbit, cooked over low heat.",es,en,Why might 'a fuego lento' be tricky to capture perfectly in English?,"While 'over low heat' works technically, 'a fuego lento' carries connotations of patience, tradition, and slow-cooking craft that are culturally embedded in Spanish cuisine. The phrase evokes a cooking philosophy beyond just temperature control.",cocinada a fuego lento,source,hard,ambiguous,informal,claude,es_batch_claude_01,2025-11-21,yes
es_batch_claude_02_042,es,es_023,"El museo alberga una impresionante colección de arte precolombino, incluyendo cerámicas, textiles y esculturas de diversas culturas mesoamericanas.","The museum houses an impressive collection of pre-Columbian art, including ceramics, textiles, and sculptures from various Mesoamerican cultures.",es,en,What does the museum contain?,"The museum houses an impressive collection of pre-Columbian art, including pottery, textiles, and sculptures from different Mesoamerican cultures.","houses an impressive collection of pre-Columbian art, including ceramics, textiles, and sculptures",target,easy,factual,formal,claude,es_batch_claude_02,2025-11-21,yes
es_batch_claude_02_043,es,es_024,La implementación del nuevo framework requiere refactorizar el código legacy y establecer pruebas unitarias exhaustivas para garantizar la estabilidad.,Implementing the new framework requires refactoring legacy code and establishing comprehensive unit tests to ensure stability.,es,en,What's needed to make sure the new framework works right?,You gotta refactor the old code and set up thorough unit tests to keep things stable.,refactoring legacy code and establishing comprehensive unit tests to ensure stability,target,easy,factual,informal,claude,es_batch_claude_02,2025-11-21,yes
es_batch_claude_02_044,es,es_022,"Me caes muy bien, pero creo que deberíamos ser sinceros el uno con el otro sobre lo que realmente queremos de esta relación.","I really like you, but I think we should be honest with each other about what we really want from this relationship.",es,en,How does the speaker characterize their feelings toward the other person in the first statement?,"The speaker expresses positive regard by saying 'me caes muy bien', which conveys genuine affection while setting up a conversation about relationship expectations.",Me caes muy bien,source,medium,reasoning,formal,claude,es_batch_claude_02,2025-11-21,yes
es_batch_claude_02_045,es,es_022,"Me caes muy bien, pero creo que deberíamos ser sinceros el uno con el otro sobre lo que realmente queremos de esta relación.","I really like you, but I think we should be honest with each other about what we really want from this relationship.",es,en,What kinda vibe is the person going for when they say they wanna be honest?,"They're trying to have a real talk about where things are heading, keeping it straightforward about what each person actually wants.",deberíamos ser sinceros el uno con el otro sobre lo que realmente queremos,source,medium,reasoning,informal,claude,es_batch_claude_02,2025-11-21,yes
es_batch_claude_02_046,es,es_023,"El museo alberga una impresionante colección de arte precolombino, incluyendo cerámicas, textiles y esculturas de diversas culturas mesoamericanas.","The museum houses an impressive collection of pre-Columbian art, including ceramics, textiles, and sculptures from various Mesoamerican cultures.",es,en,What cultural and temporal significance does the term 'precolombino' carry in the museum context?,"The term 'precolombino' designates artifacts predating European contact with the Americas, representing indigenous Mesoamerican civilizations before 1492. This temporal marker carries cultural weight, emphasizing authentic indigenous heritage rather than colonial influence.","arte precolombino, incluyendo cerámicas, textiles y esculturas de diversas culturas mesoamericanas",source,hard,ambiguous,formal,claude,es_batch_claude_02,2025-11-21,yes
es_batch_claude_02_047,es,es_024,La implementación del nuevo framework requiere refactorizar el código legacy y establecer pruebas unitarias exhaustivas para garantizar la estabilidad.,Implementing the new framework requires refactoring legacy code and establishing comprehensive unit tests to ensure stability.,es,en,"Does 'legacy code' in tech contexts imply the same thing as 'old code', or is there something more to it?","While 'legacy' and 'old' overlap, 'código legacy' specifically suggests outdated code that's still in production and potentially problematic to maintain—it's not just aged, but technically obsolete yet critical. The translation preserves this technical register by keeping 'legacy' untranslated.",refactorizar el código legacy,source,hard,ambiguous,informal,claude,es_batch_claude_02,2025-11-21,yes
es_batch_claude_03_048,es,es_025,"Metió la pata cuando le preguntó a María si estaba embarazada, resultó que solo había ganado un poco de peso recientemente.","He put his foot in his mouth when he asked María if she was pregnant, it turned out she had just gained a little weight recently.",es,en,What idiom is used in Spanish to describe the embarrassing mistake?,"The Spanish text uses 'metió la pata', which literally means 'put his foot in it', conveying an embarrassing social blunder.",Metió la pata cuando le preguntó a María si estaba embarazada,source,easy,factual,formal,claude,es_batch_claude_03,2025-11-21,yes
es_batch_claude_03_049,es,es_026,Las autoridades emitieron una alerta temprana debido a las fuertes lluvias previstas que podrían causar inundaciones en varias regiones del país.,Authorities issued an early warning due to the heavy rains forecast that could cause flooding in several regions of the country.,es,en,Why'd the authorities put out that warning?,They issued it 'cause heavy rains were coming that could flood several parts of the country.,heavy rains forecast that could cause flooding in several regions,target,easy,factual,informal,claude,es_batch_claude_03,2025-11-21,yes
es_batch_claude_03_050,es,es_025,"Metió la pata cuando le preguntó a María si estaba embarazada, resultó que solo había ganado un poco de peso recientemente.","He put his foot in his mouth when he asked María if she was pregnant, it turned out she had just gained a little weight recently.",es,en,How does the English translation handle the cultural nuance of the Spanish idiom about the social mistake?,"The translation uses 'put his foot in his mouth', an equivalent English idiom that preserves the cultural meaning of an embarrassing verbal mistake rather than attempting a literal translation.",He put his foot in his mouth when he asked María,target,medium,reasoning,formal,claude,es_batch_claude_03,2025-11-21,yes
es_batch_claude_03_051,es,es_027,"Sus ojos brillaban con una mezcla de tristeza y esperanza mientras contemplaba el horizonte, preguntándose qué le depararía el futuro.","Her eyes shone with a mixture of sadness and hope as she gazed at the horizon, wondering what the future would hold.",es,en,What was she thinking about while looking at the horizon?,"She was wondering what the future would bring her way, contemplating what lay ahead in her life.","contemplaba el horizonte, preguntándose qué le depararía el futuro",source,medium,reasoning,informal,claude,es_batch_claude_03,2025-11-21,yes
es_batch_claude_03_052,es,es_025,"Metió la pata cuando le preguntó a María si estaba embarazada, resultó que solo había ganado un poco de peso recientemente.","He put his foot in his mouth when he asked María if she was pregnant, it turned out she had just gained a little weight recently.",es,en,Does the temporal construction 'había ganado' versus 'had just gained' introduce a subtle shift in aspectual meaning regarding the weight gain?,"Yes, the English 'had just gained' emphasizes the recentness more explicitly through the adverb 'just', while the Spanish pluperfect 'había ganado' followed by 'recientemente' places the temporal marker separately, creating a slightly different aspectual focus on the completed action versus its temporal proximity.",resultó que solo había ganado un poco de peso recientemente,source,hard,ambiguous,formal,claude,es_batch_claude_03,2025-11-21,yes
es_batch_claude_03_053,es,es_027,"Sus ojos brillaban con una mezcla de tristeza y esperanza mientras contemplaba el horizonte, preguntándose qué le depararía el futuro.","Her eyes shone with a mixture of sadness and hope as she gazed at the horizon, wondering what the future would hold.",es,en,What's the deal with her eyes—was she happy or sad?,"It's actually both at once—that's the whole point. Her eyes showed 'a mixture of sadness and hope' simultaneously, capturing an ambiguous emotional state that's neither purely positive nor negative but rather complex and contradictory.",Her eyes shone with a mixture of sadness and hope,target,hard,ambiguous,informal,claude,es_batch_claude_03,2025-11-21,yes
es_batch_claude_04_054,es,es_028,La base de datos utiliza indexación compuesta y particionamiento horizontal para manejar eficientemente consultas complejas en conjuntos de datos masivos.,The database uses composite indexing and horizontal partitioning to efficiently handle complex queries on massive datasets.,es,en,What two techniques does the database use for handling queries?,The database employs composite indexing and horizontal partitioning to efficiently manage complex queries on massive datasets.,composite indexing and horizontal partitioning,target,easy,factual,formal,claude,es_batch_claude_04,2025-11-21,yes
es_batch_claude_04_055,es,es_029,¿Te acuerdas de cuando éramos niños y pasábamos horas jugando en el parque sin preocuparnos por nada? Qué tiempos aquellos.,Do you remember when we were kids and spent hours playing in the park without worrying about anything? Those were the days.,es,en,What's the nostalgic phrase used to describe those childhood times?,The phrase 'Those were the days' captures the nostalgic sentiment about carefree childhood moments spent playing in the park.,Those were the days.,target,easy,factual,informal,claude,es_batch_claude_04,2025-11-21,yes
